n,value,time_taken
268,2.82e55,0.0
269,4.56e55,0.0
270,7.38e55,0.0
271,1.19e56,0.0
272,1.93e56,0.0
273,3.13e56,0.0
274,5.06e56,0.0
275,8.19e56,0.0
276,1.32e57,0.0
277,2.14e57,0.0
278,3.47e57,0.0
279,5.61e57,0.0
280,9.08e57,0.0
281,1.47e58,0.0
282,2.38e58,0.0
283,3.85e58,0.0
284,6.22e58,0.0
285,1.01e59,0.0
286,1.63e59,0.0
287,2.64e59,0.0
288,4.27e59,0.0
289,6.9e59,0.0
290,1.12e60,0.0
291,1.81e60,0.0
292,2.92e60,0.0
293,4.73e60,0.0
294,7.65e60,0.0
295,1.24e61,0.0
296,2e61,0.0
297,3.24e61,0.0
298,5.25e61,0.0
299,8.49e61,0.0
300,1.37e62,0.0
301,2.22e62,0.0
302,3.6e62,0.0
303,5.82e62,0.0
304,9.41e62,0.0
305,1.52e63,0.0
306,2.46e63,0.0
307,3.99e63,0.0
308,6.45e63,0.0
309,1.04e64,0.0
310,1.69e64,0.0
311,2.73e64,0.0
312,4.42e64,0.0
313,7.16e64,0.0
314,1.16e65,0.0
315,1.87e65,0.0
316,3.03e65,0.0
317,4.9e65,0.0
318,7.94e65,0.0
319,1.28e66,0.0
320,2.08e66,0.0
321,3.36e66,0.0
322,5.44e66,0.0
323,8.8e66,0.0
324,1.42e67,0.0
325,2.3e67,0.0
326,3.73e67,0.0
327,6.03e67,0.0
328,9.76e67,0.0
329,1.58e68,0.0
330,2.56e68,0.0
331,4.13e68,0.0
332,6.69e68,0.0
333,1.08e69,0.0
334,1.75e69,0.0
335,2.83e69,0.0
336,4.59e69,0.0
337,7.42e69,0.0
338,1.2e70,0.0
339,1.94e70,0.0
340,3.14e70,0.0
341,5.09e70,0.0
342,8.23e70,0.0
343,1.33e71,0.0
344,2.15e71,0.0
345,3.49e71,0.0
346,5.64e71,0.0
347,9.13e71,0.0
348,1.48e72,0.0
349,2.39e72,0.0
350,3.87e72,0.0
351,6.25e72,0.0
352,1.01e73,0.0
353,1.64e73,0.0
354,2.65e73,0.0
355,4.29e73,0.0
356,6.94e73,0.0
357,1.12e74,0.0
358,1.82e74,0.0
359,2.94e74,0.0
360,4.75e74,0.0
361,7.69e74,0.0
362,1.24e75,0.0
363,2.01e75,0.0
364,3.26e75,0.0
365,5.27e75,0.0
366,8.53e75,0.0
367,1.38e76,0.0
368,2.23e76,0.0
369,3.61e76,0.0
370,5.85e76,0.0
371,9.46e76,0.0
372,1.53e77,0.0
373,2.48e77,0.0
374,4.01e77,0.0
375,6.48e77,0.0
376,1.05e78,0.0
377,1.7e78,0.0
378,2.75e78,0.0
379,4.44e78,0.0
380,7.19e78,0.0
381,1.16e79,0.0
382,1.88e79,0.0
383,3.05e79,0.0
384,4.93e79,0.0
385,7.98e79,0.0
386,1.29e80,0.0
387,2.09e80,0.0
388,3.38e80,0.0
389,5.47e80,0.0
390,8.85e80,0.0
391,1.43e81,0.0
392,2.32e81,0.0
393,3.75e81,0.0
394,6.06e81,0.0
395,9.81e81,0.0
396,1.59e82,0.0
397,2.57e82,0.0009980201721191406
398,4.16e82,0.0
399,6.72e82,0.0
400,1.09e83,0.0
401,1.76e83,0.0
402,2.85e83,0.0
403,4.61e83,0.0
404,7.46e83,0.0
405,1.21e84,0.0
406,1.95e84,0.0
407,3.16e84,0.0
408,5.11e84,0.0
409,8.27e84,0.0
410,1.34e85,0.0
411,2.16e85,0.0
412,3.5e85,0.0
413,5.67e85,0.0
414,9.17e85,0.0
415,1.48e86,0.0
416,2.4e86,0.0
417,3.88e86,0.0
418,6.29e86,0.0
419,1.02e87,0.0
420,1.65e87,0.0
421,2.66e87,0.0
422,4.31e87,0.0
423,6.97e87,0.0
424,1.13e88,0.0
425,1.83e88,0.0
426,2.95e88,0.0
427,4.78e88,0.0
428,7.73e88,0.0
429,1.25e89,0.0
430,2.02e89,0.0
431,3.27e89,0.0
432,5.3e89,0.0
433,8.57e89,0.0
434,1.39e90,0.0
435,2.24e90,0.0
436,3.63e90,0.0
437,5.88e90,0.0
438,9.51e90,0.0
439,1.54e91,0.0
440,2.49e91,0.0
441,4.03e91,0.0
442,6.52e91,0.0
443,1.05e92,0.0
444,1.71e92,0.0
445,2.76e92,0.0
446,4.47e92,0.0
447,7.23e92,0.0
448,1.17e93,0.0
449,1.89e93,0.002002716064453125
450,3.06e93,0.0
451,4.95e93,0.0
452,8.02e93,0.0
453,1.3e94,0.0
454,2.1e94,0.0
455,3.4e94,0.0
456,5.49e94,0.0
457,8.89e94,0.0
458,1.44e95,0.0
459,2.33e95,0.0
460,3.77e95,0.0
461,6.09e95,0.0
462,9.86e95,0.0
463,1.6e96,0.0
464,2.58e96,0.0
465,4.18e96,0.0
466,6.76e96,0.0
467,1.09e97,0.0
468,1.77e97,0.0
469,2.86e97,0.0
470,4.63e97,0.0
471,7.49e97,0.0
472,1.21e98,0.0
473,1.96e98,0.0
474,3.17e98,0.0
475,5.14e98,0.0
476,8.31e98,0.0
477,1.34e99,0.0
478,2.18e99,0.0
479,3.52e99,0.0
480,5.7e99,0.0
481,9.22e99,0.0
482,1.49e100,0.0
483,2.41e100,0.0
484,3.9e100,0.0
485,6.32e100,0.0
486,1.02e101,0.0
487,1.65e101,0.0
488,2.68e101,0.0
489,4.33e101,0.0
490,7.01e101,0.0
491,1.13e102,0.0
492,1.83e102,0.0
493,2.97e102,0.0
494,4.8e102,0.0
495,7.77e102,0.0
496,1.26e103,0.0
497,2.03e103,0.0
498,3.29e103,0.0
499,5.33e103,0.0
500,8.62e103,0.0
501,1.39e104,0.0
502,2.26e104,0.0
503,3.65e104,0.0
504,5.91e104,0.0
505,9.56e104,0.0
506,1.55e105,0.0
507,2.5e105,0.0
508,4.05e105,0.0
509,6.55e105,0.0
510,1.06e106,0.0
511,1.71e106,0.0
512,2.77e106,0.0
513,4.49e106,0.0
514,7.26e106,0.0
515,1.18e107,0.0
516,1.9e107,0.0
517,3.08e107,0.0
518,4.98e107,0.0
519,8.06e107,0.0
520,1.3e108,0.0
521,2.11e108,0.0
522,3.41e108,0.0
523,5.52e108,0.0
524,8.93e108,0.0
525,1.45e109,0.0
526,2.34e109,0.0
527,3.78e109,0.0
528,6.12e109,0.0
529,9.91e109,0.0
530,1.6e110,0.0
531,2.59e110,0.0
532,4.2e110,0.0
533,6.79e110,0.0
534,1.1e111,0.0
535,1.78e111,0.0
536,2.88e111,0.0
537,4.65e111,0.0
538,7.53e111,0.0
539,1.22e112,0.0
540,1.97e112,0.0
541,3.19e112,0.0
542,5.16e112,0.0
543,8.35e112,0.0
544,1.35e113,0.0
545,2.19e113,0.0
546,3.54e113,0.0
547,5.72e113,0.0
548,9.26e113,0.0
549,1.5e114,0.0
550,2.43e114,0.0
551,3.92e114,0.0
552,6.35e114,0.0
553,1.03e115,0.009289026260375977
554,1.66e115,0.0
555,2.69e115,0.0
556,4.35e115,0.0
557,7.04e115,0.0
558,1.14e116,0.0
559,1.84e116,0.0
560,2.98e116,0.0
561,4.83e116,0.0
562,7.81e116,0.0
563,1.26e117,0.0
564,2.04e117,0.0
565,3.31e117,0.0
566,5.35e117,0.0
567,8.66e117,0.0
568,1.4e118,0.0
569,2.27e118,0.0
570,3.67e118,0.0
571,5.94e118,0.0
572,9.6e118,0.0
573,1.55e119,0.0
574,2.51e119,0.0
575,4.07e119,0.0
576,6.58e119,0.0
577,1.07e120,0.0
578,1.72e120,0.0
579,2.79e120,0.0
580,4.51e120,0.0
581,7.3e120,0.0
582,1.18e121,0.0
583,1.91e121,0.0
584,3.09e121,0.0
585,5e121,0.0
586,8.1e121,0.0
587,1.31e122,0.0
588,2.12e122,0.0
589,3.43e122,0.0
590,5.55e122,0.0
591,8.98e122,0.0
592,1.45e123,0.0
593,2.35e123,0.0
594,3.8e123,0.0
595,6.15e123,0.0
596,9.96e123,0.0
597,1.61e124,0.0
598,2.61e124,0.0
599,4.22e124,0.0
600,6.83e124,0.0
601,1.1e125,0.0
602,1.79e125,0.0
603,2.89e125,0.0
604,4.68e125,0.0010120868682861328
605,7.57e125,0.0
606,1.22e126,0.0
607,1.98e126,0.0
608,3.21e126,0.0
609,5.19e126,0.0
610,8.39e126,0.0
611,1.36e127,0.0
612,2.2e127,0.0
613,3.56e127,0.0
614,5.75e127,0.0
615,9.31e127,0.0
616,1.51e128,0.0
617,2.44e128,0.0
618,3.94e128,0.0
619,6.38e128,0.0
620,1.03e129,0.0
621,1.67e129,0.0
622,2.7e129,0.0
623,4.37e129,0.0
624,7.08e129,0.0
625,1.14e130,0.0
626,1.85e130,0.0
627,3e130,0.0
628,4.85e130,0.0
629,7.85e130,0.0
630,1.27e131,0.0
631,2.05e131,0.0
632,3.32e131,0.0
633,5.38e131,0.0
634,8.7e131,0.0
635,1.41e132,0.0
636,2.28e132,0.0
637,3.69e132,0.0
638,5.97e132,0.0
639,9.65e132,0.001980304718017578
640,1.56e133,0.0
641,2.53e133,0.0
642,4.09e133,0.0
643,6.62e133,0.0
644,1.07e134,0.0
645,1.73e134,0.0
646,2.8e134,0.0
647,4.53e134,0.0
648,7.34e134,0.0005054473876953125
649,1.19e135,0.0
650,1.92e135,0.00051116943359375
651,3.11e135,0.0
652,5.03e135,0.0
653,8.14e135,0.0
654,1.32e136,0.0
655,2.13e136,0.0
656,3.45e136,0.0
657,5.58e136,0.0
658,9.02e136,0.0
